ham_name,est_num_msd,est_num_msc,num_msd_sf,num_msc_sf,num_msd,num_msc,magic_period,shots,quration_magic_factory_count,request_trace_source,request_count_from_trace,ideal_runtime,ideal_runtime_sec_for_manual_code_distance,runtime,runtime_samples,std_runtime,mean_stall_sec,std_stall_sec,mean_stall_beat,std_stall_beat,stall_beat_samples,original_pq,msd_pq,msc_pq,time_cost,time_cost_std,space_cost,spacetime_cost,code_distance,quration_code_distance,quration_code_distance_samples,ideal_quration_code_distance,magic_state_consumption_count,magic_state_consumption_depth
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.5,1.7,2,5,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,76321.61851851852,"[76320.0, 76325.4074074074, 76320.4074074074, 76322.03703703704, 76321.70370370371, 76319.96296296296, 76328.59259259258, 76323.59259259258, 76314.07407407407, 76320.4074074074]",3.6371068108243936,0.9510098999999892,0.023273846482478516,148.61851851851685,3.6371068108264595,"[146.99999999999844, 152.40740740740574, 147.4074074074059, 149.03703703703513, 148.7037037037022, 146.96296296296111, 155.59259259259085, 150.59259259259073, 141.07407407407266, 147.40740740740557]",590085,32054,1465,1.0,4.774797908477274e-05,1.06,1.06,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.5,1.8,2,5,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,76321.61851851852,"[76320.0, 76325.4074074074, 76320.4074074074, 76322.03703703704, 76321.70370370371, 76319.96296296296, 76328.59259259258, 76323.59259259258, 76314.07407407407, 76320.4074074074]",3.6371068108243936,0.9510098999999892,0.023273846482478516,148.61851851851685,3.6371068108264595,"[146.99999999999844, 152.40740740740574, 147.4074074074059, 149.03703703703513, 148.7037037037022, 146.96296296296111, 155.59259259259085, 150.59259259259073, 141.07407407407266, 147.40740740740557]",590085,32054,1465,1.0,4.774797908477274e-05,1.06,1.06,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.5,1.9,2,6,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,76268.8,"[76269.55555555556, 76267.70370370371, 76269.14814814815, 76267.33333333333, 76268.88888888889, 76268.88888888889, 76269.81481481482, 76268.44444444444, 76269.11111111111, 76269.11111111111]",0.7355745773542642,0.6130242000000015,0.00470694172048041,95.80000000000024,0.735574577352774,"[96.55555555555578, 94.70370370370397, 96.14814814814834, 94.33333333333361, 95.88888888888916, 95.88888888888916, 96.81481481481505, 95.4444444444447, 96.11111111111134, 96.11111111111133]",590085,32054,1758,1.0,9.656631317583189e-06,1.06,1.06,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.5,2.0,2,6,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,76268.8,"[76269.55555555556, 76267.70370370371, 76269.14814814815, 76267.33333333333, 76268.88888888889, 76268.88888888889, 76269.81481481482, 76268.44444444444, 76269.11111111111, 76269.11111111111]",0.7355745773542642,0.6130242000000015,0.00470694172048041,95.80000000000024,0.735574577352774,"[96.55555555555578, 94.70370370370397, 96.14814814814834, 94.33333333333361, 95.88888888888916, 95.88888888888916, 96.81481481481505, 95.4444444444447, 96.11111111111134, 96.11111111111133]",590085,32054,1758,1.0,9.656631317583189e-06,1.06,1.06,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.6,0.5,2,2,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,142270.59259263932,"[142282.8518518978, 142228.77777782478, 142146.14814819518, 142130.77777782403, 142035.55555560213, 142348.7037037511, 142692.55555560222, 142245.11111115804, 142344.55555560195, 142250.8888889357]",168.17786081095292,422.9584950002988,1.076170131329299,66097.5925926393,168.1778608109542,"[66109.85185189781, 66055.7777778248, 65973.14814819518, 65957.77777782403, 65862.55555560211, 66175.70370375109, 66519.55555560222, 66072.11111115802, 66171.55555560194, 66077.8888889357]",590085,32054,586,1.87,0.0022078408466379546,1.06,1.98,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.6,0.6,2,2,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,142270.59259263932,"[142282.8518518978, 142228.77777782478, 142146.14814819518, 142130.77777782403, 142035.55555560213, 142348.7037037511, 142692.55555560222, 142245.11111115804, 142344.55555560195, 142250.8888889357]",168.17786081095292,422.9584950002988,1.076170131329299,66097.5925926393,168.1778608109542,"[66109.85185189781, 66055.7777778248, 65973.14814819518, 65957.77777782403, 65862.55555560211, 66175.70370375109, 66519.55555560222, 66072.11111115802, 66171.55555560194, 66077.8888889357]",590085,32054,586,1.87,0.0022078408466379546,1.06,1.98,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.6,0.7,2,2,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,142270.59259263932,"[142282.8518518978, 142228.77777782478, 142146.14814819518, 142130.77777782403, 142035.55555560213, 142348.7037037511, 142692.55555560222, 142245.11111115804, 142344.55555560195, 142250.8888889357]",168.17786081095292,422.9584950002988,1.076170131329299,66097.5925926393,168.1778608109542,"[66109.85185189781, 66055.7777778248, 65973.14814819518, 65957.77777782403, 65862.55555560211, 66175.70370375109, 66519.55555560222, 66072.11111115802, 66171.55555560194, 66077.8888889357]",590085,32054,586,1.87,0.0022078408466379546,1.06,1.98,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.6,0.8,2,2,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,142270.59259263932,"[142282.8518518978, 142228.77777782478, 142146.14814819518, 142130.77777782403, 142035.55555560213, 142348.7037037511, 142692.55555560222, 142245.11111115804, 142344.55555560195, 142250.8888889357]",168.17786081095292,422.9584950002988,1.076170131329299,66097.5925926393,168.1778608109542,"[66109.85185189781, 66055.7777778248, 65973.14814819518, 65957.77777782403, 65862.55555560211, 66175.70370375109, 66519.55555560222, 66072.11111115802, 66171.55555560194, 66077.8888889357]",590085,32054,586,1.87,0.0022078408466379546,1.06,1.98,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.6,0.9,2,3,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,94772.25185187015,"[94885.48148149958, 94803.2592592779, 94845.2222222405, 94688.85185186964, 94923.55555557398, 94811.03703705547, 94691.44444446298, 94690.37037038863, 94744.37037038871, 94638.92592594416]",90.69031826589637,119.0166126001171,0.5803273465834724,18599.251851870154,90.6903182658961,"[18712.481481499577, 18630.259259277904, 18672.22222224049, 18515.851851869636, 18750.55555557399, 18638.037037055474, 18518.444444462973, 18517.37037038863, 18571.370370388715, 18465.925925944164]",590085,32054,879,1.24,0.0011905835173341784,1.06,1.31,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.6,1.0,2,3,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,94772.25185187015,"[94885.48148149958, 94803.2592592779, 94845.2222222405, 94688.85185186964, 94923.55555557398, 94811.03703705547, 94691.44444446298, 94690.37037038863, 94744.37037038871, 94638.92592594416]",90.69031826589637,119.0166126001171,0.5803273465834724,18599.251851870154,90.6903182658961,"[18712.481481499577, 18630.259259277904, 18672.22222224049, 18515.851851869636, 18750.55555557399, 18638.037037055474, 18518.444444462973, 18517.37037038863, 18571.370370388715, 18465.925925944164]",590085,32054,879,1.24,0.0011905835173341784,1.06,1.31,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.6,1.1,2,3,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,94772.25185187015,"[94885.48148149958, 94803.2592592779, 94845.2222222405, 94688.85185186964, 94923.55555557398, 94811.03703705547, 94691.44444446298, 94690.37037038863, 94744.37037038871, 94638.92592594416]",90.69031826589637,119.0166126001171,0.5803273465834724,18599.251851870154,90.6903182658961,"[18712.481481499577, 18630.259259277904, 18672.22222224049, 18515.851851869636, 18750.55555557399, 18638.037037055474, 18518.444444462973, 18517.37037038863, 18571.370370388715, 18465.925925944164]",590085,32054,879,1.24,0.0011905835173341784,1.06,1.31,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.6,1.2,2,4,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,76457.36666666667,"[76464.11111111111, 76452.85185185185, 76461.29629629629, 76455.07407407407, 76460.77777777778, 76463.22222222222, 76452.81481481482, 76446.62962962962, 76470.48148148147, 76446.4074074074]",7.487318038717042,1.8196622999999874,0.04791134812975065,284.36666666666474,7.487318038717088,"[291.1111111111097, 279.85185185184986, 288.29629629629426, 282.074074074072, 287.7777777777758, 290.2222222222203, 279.8148148148127, 273.62962962962706, 297.48148148148016, 273.40740740740546]",590085,32054,1172,1.0,9.829359535159496e-05,1.06,1.06,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.6,1.3,2,4,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,76457.36666666667,"[76464.11111111111, 76452.85185185185, 76461.29629629629, 76455.07407407407, 76460.77777777778, 76463.22222222222, 76452.81481481482, 76446.62962962962, 76470.48148148147, 76446.4074074074]",7.487318038717042,1.8196622999999874,0.04791134812975065,284.36666666666474,7.487318038717088,"[291.1111111111097, 279.85185185184986, 288.29629629629426, 282.074074074072, 287.7777777777758, 290.2222222222203, 279.8148148148127, 273.62962962962706, 297.48148148148016, 273.40740740740546]",590085,32054,1172,1.0,9.829359535159496e-05,1.06,1.06,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.6,1.4,2,4,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,76457.36666666667,"[76464.11111111111, 76452.85185185185, 76461.29629629629, 76455.07407407407, 76460.77777777778, 76463.22222222222, 76452.81481481482, 76446.62962962962, 76470.48148148147, 76446.4074074074]",7.487318038717042,1.8196622999999874,0.04791134812975065,284.36666666666474,7.487318038717088,"[291.1111111111097, 279.85185185184986, 288.29629629629426, 282.074074074072, 287.7777777777758, 290.2222222222203, 279.8148148148127, 273.62962962962706, 297.48148148148016, 273.40740740740546]",590085,32054,1172,1.0,9.829359535159496e-05,1.06,1.06,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.6,1.5,2,4,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,76457.36666666667,"[76464.11111111111, 76452.85185185185, 76461.29629629629, 76455.07407407407, 76460.77777777778, 76463.22222222222, 76452.81481481482, 76446.62962962962, 76470.48148148147, 76446.4074074074]",7.487318038717042,1.8196622999999874,0.04791134812975065,284.36666666666474,7.487318038717088,"[291.1111111111097, 279.85185185184986, 288.29629629629426, 282.074074074072, 287.7777777777758, 290.2222222222203, 279.8148148148127, 273.62962962962706, 297.48148148148016, 273.40740740740546]",590085,32054,1172,1.0,9.829359535159496e-05,1.06,1.06,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.6,1.6,2,5,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,76321.61851851852,"[76320.0, 76325.4074074074, 76320.4074074074, 76322.03703703704, 76321.70370370371, 76319.96296296296, 76328.59259259258, 76323.59259259258, 76314.07407407407, 76320.4074074074]",3.6371068108243936,0.9510098999999892,0.023273846482478516,148.61851851851685,3.6371068108264595,"[146.99999999999844, 152.40740740740574, 147.4074074074059, 149.03703703703513, 148.7037037037022, 146.96296296296111, 155.59259259259085, 150.59259259259073, 141.07407407407266, 147.40740740740557]",590085,32054,1465,1.0,4.774797908477274e-05,1.06,1.06,27,15,[15],15,9324,2919
SELECT_6_FermiHubbard2D_cylinder_0_0,1,3,1.6,1.7,2,5,,10,9,ml_lattice_surgery_magic,9324,76173,487.431027,76321.61851851852,"[76320.0, 76325.4074074074, 76320.4074074074, 76322.03703703704, 76321.70370370371, 76319.96296296296, 76328.59259259258, 76323.59259259258, 76314.07407407407, 76320.4074074074]",3.6371068108243936,0.9510098999999892,0.023273846482478516,148.61851851851685,3.6371068108264595,"[146.99999999999844, 152.40740740740574, 147.4074074074059, 149.03703703703513, 148.7037037037022, 146.96296296296111, 155.59259259259085, 150.59259259259073, 141.07407407407266, 147.40740740740557]",590085,32054,1465,1.0,4.774797908477274e-05,1.06,1.06,27,15,[15],15,9324,2919
